,Suboptimal proxy structure,Base pair,Energy (kcal/mol),MFE distance,Probability
0,...........((((.(((....)))))))..........((.....))...((((......)))).,13,-8.849,0,0.049811
1,...........((((.(((....)))))))..........(((...)))...((((......)))).,14,-8.61,2,0.033286
2,...........((((.(((....)))))))......((....))........((((......)))).,13,-8.589,8,0.032142
3,...........((((.(((....)))))))......................((((......)))).,11,-8.287,4,0.019293
4,...........((((..((....)).))))..........((.....))...((((......)))).,12,-8.185,2,0.016247
5,.......(((.(..(((((........(((.........)))......)))))..).))).......,12,-8.054,37,0.013027
6,..(.....)..((((.(((....)))))))..........((.....))...((((......)))).,14,-8.011,2,0.012111
7,...........((((...........))))..........((.....))...((((......)))).,10,-7.952,6,0.010971
8,...........((((..((....)).))))..........(((...)))...((((......)))).,13,-7.946,4,0.010857
9,..((...))..((((.(((....)))))))..........((.....))...((((......)))).,15,-7.939,4,0.010738
10,...........((((..((....)).))))......((....))........((((......)))).,12,-7.925,10,0.010484
11,.........(.((((.(((....)))))))..).......((.....))...((((......)))).,14,-7.82,2,0.008781
12,.......(((.(..(((((..........((((.......))))....)))))..).))).......,13,-7.796,41,0.008436
13,..(.....)..((((.(((....)))))))..........(((...)))...((((......)))).,15,-7.772,4,0.008093
14,..(.....)..((((.(((....)))))))......((....))........((((......)))).,14,-7.751,10,0.007815
15,...........((((...........))))..........(((...)))...((((......)))).,11,-7.713,8,0.007331
16,..((...))..((((.(((....)))))))..........(((...)))...((((......)))).,16,-7.701,6,0.007176
17,...........((((...........))))......((....))........((((......)))).,10,-7.693,14,0.007079
18,..((...))..((((.(((....)))))))......((....))........((((......)))).,15,-7.68,12,0.006929
19,...........((((..((....)).))))......................((((......)))).,10,-7.623,6,0.006293
20,.........(.((((.(((....)))))))..).......(((...)))...((((......)))).,15,-7.581,4,0.005868
21,.........(.((((.(((....)))))))..)...((....))........((((......)))).,14,-7.561,10,0.005666
22,...........((((.(((....)))))))...((.....))..........((((......)))).,13,-7.499,6,0.005102
23,.......(((.((.(((((........(((.........)))......))))).)).))).......,13,-7.46,37,0.004782
24,..(.....)..((((.(((....)))))))......................((((......)))).,12,-7.449,6,0.004691
25,...........((((.(((....)))))))..(...)...((.....))...((((......)))).,14,-7.398,2,0.004309
26,...........((((...........))))......................((((......)))).,8,-7.39,10,0.004249
27,..............(((....))).....((((.......))))........((((......)))).,11,-7.387,26,0.004230
28,..((...))..((((.(((....)))))))......................((((......)))).,13,-7.377,8,0.004159
29,..(.....)..((((..((....)).))))..........((.....))...((((......)))).,13,-7.347,4,0.003950
30,..((...))..((((..((....)).))))..........((.....))...((((......)))).,14,-7.276,6,0.003502
31,...........((((.(((....)))))))....(.....)...........((((......)))).,12,-7.266,5,0.003449
32,.........(.((((.(((....)))))))..)...................((((......)))).,12,-7.258,6,0.003401
33,.....(..((.((((.(((....)))))))..))..)...((.....))...((((......)))).,16,-7.206,6,0.003115
34,.......(((.((.(((((..........((((.......))))....))))).)).))).......,14,-7.203,41,0.003097
35,...........(((..(((....))).)))..........((.....))...((((......)))).,12,-7.194,2,0.003052
36,..........(..((((....)))).)..((((.......))))........((((......)))).,13,-7.186,27,0.003009
37,......(.((.((((.(((....)))))))..))..)...((.....))...((((......)))).,16,-7.164,6,0.002901
38,...........((((.(((....)))))))..(...)...(((...)))...((((......)))).,15,-7.16,4,0.002879
39,.........(.((((..((....)).))))..).......((.....))...((((......)))).,13,-7.156,4,0.002864
40,...........((((.((......))))))..........((.....))...((((......)))).,12,-7.156,2,0.002861
41,...........((((.(((....))))))).......((.....))......((((......)))).,13,-7.151,8,0.002838
42,........((.((((.(((....)))))))..))......((.....))...((((......)))).,15,-7.126,4,0.002722
43,..(.....)..((((...........))))..........((.....))...((((......)))).,11,-7.114,8,0.002667
44,..(.....)..((((..((....)).))))..........(((...)))...((((......)))).,14,-7.108,6,0.002640
45,..(.....)..((((..((....)).))))......((....))........((((......)))).,13,-7.087,12,0.002549
46,.......(((.(..(((((..((....(((.........))).))...)))))..).))).......,14,-7.084,41,0.002534
47,...........((((.(((....)))))))..........((.....))...(((........))).,12,-7.082,2,0.002527
48,..((...))..((((...........))))..........((.....))...((((......)))).,12,-7.043,10,0.002365
49,..((...))..((((..((....)).))))..........(((...)))...((((......)))).,15,-7.037,8,0.002340
50,..((...))..((((..((....)).))))......((....))........((((......)))).,14,-7.016,14,0.002260
51,...........((((.(((....))))))).............((.....))((((......)))).,13,-6.996,8,0.002185
52,.....(..((.((((.(((....)))))))..))..)...(((...)))...((((......)))).,17,-6.967,8,0.002081
53,...........(((..(((....))).)))..........(((...)))...((((......)))).,13,-6.955,4,0.002040
54,...........(((..(((....))).)))......((....))........((((......)))).,12,-6.935,10,0.001970
55,......(.((.((((.(((....)))))))..))..)...(((...)))...((((......)))).,17,-6.925,8,0.001938
56,.........(.((((...........))))..).......((.....))...((((......)))).,11,-6.924,8,0.001934
57,.........(.((((..((....)).))))..).......(((...)))...((((......)))).,14,-6.918,6,0.001914
58,...........((((.((......))))))..........(((...)))...((((......)))).,13,-6.917,4,0.001912
59,.........(.((((..((....)).))))..)...((....))........((((......)))).,13,-6.897,12,0.001848
60,...........((((((....))))...))..........((.....))...((((......)))).,12,-6.897,13,0.001848
61,...........((((.((......))))))......((....))........((((......)))).,12,-6.896,10,0.001846
62,...........((((.(((....)))))))......(......)........((((......)))).,12,-6.894,6,0.001839
63,........((.((((.(((....)))))))..))......(((...)))...((((......)))).,16,-6.887,6,0.001819
64,...........((((((....)))...)))..........((.....))...((((......)))).,12,-6.883,11,0.001806
65,..(.....)..((((...........))))..........(((...)))...((((......)))).,12,-6.875,10,0.001783
66,...((..(((.(......).)))..))..((((.......))))........((((......)))).,14,-6.872,31,0.001771
67,........((.((((.(((....)))))))..))..((....))........((((......)))).,15,-6.867,12,0.001756
68,...((..(((.((....)).)))..))..((((.......))))........((((......)))).,15,-6.864,31,0.001748
69,.......(((.(..(((((........(((..(...)..)))......)))))..).))).......,13,-6.856,39,0.001725
70,..(.....)..((((...........))))......((....))........((((......)))).,11,-6.855,16,0.001721
71,..............(((....)))...(((.........)))..........((((......)))).,10,-6.846,22,0.001695
72,...........((((.(((....)))))))..........(((...)))...(((........))).,13,-6.843,4,0.001689
73,...........((((.(((....)))))))..(...)...............((((......)))).,12,-6.836,6,0.001669
74,...........((((..((....)).))))...((.....))..........((((......)))).,12,-6.835,8,0.001664
75,...........((((.(((....)))))))......(...........)...((((......)))).,12,-6.825,5,0.001637
76,...........((((.(((....)))))))......((....))........(((........))).,12,-6.823,10,0.001631
77,..((...))..((((...........))))..........(((...)))...((((......)))).,13,-6.804,12,0.001580
78,.............((((....))))....((((.......))))........((((......)))).,12,-6.802,26,0.001576
79,..(.....)..((((..((....)).))))......................((((......)))).,11,-6.785,8,0.001530
80,..((...))..((((...........))))......((....))........((((......)))).,12,-6.783,18,0.001526
81,.......(((.(..(((((.....((.(((.........)))..))..)))))..).))).......,14,-6.779,39,0.001515
82,..((....((.((((.(((....)))))))..))))....((.....))...((((......)))).,17,-6.779,8,0.001514
83,..(((......((((.(((....)))))))...)))....((.....))...((((......)))).,16,-6.765,6,0.001480
84,..(((....(.((((.(((....)))))))..))))....((.....))...((((......)))).,17,-6.765,8,0.001480
85,..(((...(..((((.(((....))))))).).)))....((.....))...((((......)))).,17,-6.761,8,0.001469
86,...........((((.(((....))))))).............(((...)))((((......)))).,14,-6.757,10,0.001460
87,...........((((..((....)).))))..(...)...((.....))...((((......)))).,13,-6.735,4,0.001405
88,...........((((.(((....))))))).....((...........))..((((......)))).,13,-6.717,7,0.001364
89,..((...))..((((..((....)).))))......................((((......)))).,12,-6.714,10,0.001357
90,.........(.((((...........))))..).......(((...)))...((((......)))).,12,-6.685,10,0.001292
91,...(...)...((((.(((....)))))))..........((.....))...((((......)))).,14,-6.668,2,0.001256
92,.........(.((((...........))))..)...((....))........((((......)))).,11,-6.664,16,0.001248
93,.....(((((.(..(((((........(((.........)))......)))))..).)))....)).,14,-6.663,39,0.001244
94,..(.....)..((((.(((....)))))))...((.....))..........((((......)))).,14,-6.661,8,0.001241
95,...........((((((....))))...))..........(((...)))...((((......)))).,13,-6.658,15,0.001235
96,.......(((.(..(((((..........(((.........)))....)))))..).))).......,12,-6.652,40,0.001222
97,...........((((((....)))...)))..........(((...)))...((((......)))).,13,-6.644,13,0.001207
98,.....(..((.((((.(((....)))))))..))..)...............((((......)))).,14,-6.644,10,0.001206
99,...........((((((....))))...))......((....))........((((......)))).,12,-6.637,21,0.001192
100,...........((((.(((....)))))))..........((.....))...(((.((...))))).,14,-6.632,5,0.001182
101,...........((((.(((....)))))))..........((.....))...((((.(...))))).,14,-6.632,2,0.001182
