,Suboptimal proxy structure,Base pair,Energy (kcal/mol),MFE distance,Probability
0,.........(((......))).........((.((..((..((((..............)))).)).)).))....,13,-6.965,0,0.014736
1,.........((((....)))).........((.((..((..((((..............)))).)).)).))....,14,-6.957,2,0.014539
2,.........(((......)))..................((.(.....).))...((....)).............,8,-6.78,27,0.010778
3,.........((((....))))..................((.(.....).))...((....)).............,9,-6.772,29,0.010634
4,......((..((.((((.((((.....(((.((..............)).)))))))...)))).))..)).....,17,-6.752,49,0.010283
5,...........(.((((.((((.....(((.((..............)).)))))))...)))).)..........,14,-6.481,45,0.006507
6,........((((......))))........((.((..((..((((..............)))).)).)).))....,14,-6.271,2,0.004568
7,........(((((....)))))........((.((..((..((((..............)))).)).)).))....,15,-6.263,4,0.004507
8,.........(((......)))..........(.((..((..((((..............)))).)).)).).....,12,-6.255,2,0.004445
9,.........((((....))))..........(.((..((..((((..............)))).)).)).).....,13,-6.247,4,0.004386
10,.........(((......))).................((.((((..............)))).))..........,9,-6.237,13,0.004311
11,.........((((....)))).................((.((((..............)))).))..........,10,-6.229,15,0.004253
12,.........(((......))).........((.((...((.((((..............)))).)).)).))....,13,-6.191,5,0.003992
13,.........((((....)))).........((.((...((.((((..............)))).)).)).))....,14,-6.183,7,0.003939
14,.........(((......))).......................((((.......((....))....)))).....,9,-6.087,26,0.003349
15,........((((......)))).................((.(.....).))...((....)).............,9,-6.086,29,0.003341
16,.........((((....)))).......................((((.......((....))....)))).....,10,-6.079,28,0.003304
17,........(((((....))))).................((.(.....).))...((....)).............,10,-6.078,31,0.003296
18,.........(((......))).......((.(.((..((..((((..............)))).)).))).))...,14,-6.061,8,0.003202
19,.........((((....)))).......((.(.((..((..((((..............)))).)).))).))...,15,-6.053,10,0.003159
20,.........(((......))).....................(.((((.......((....))....)))).)...,10,-6.008,27,0.002929
21,.........(((......)))................((..((((..............)))).))..........,9,-6.004,8,0.002908
22,.........((((....)))).....................(.((((.......((....))....)))).)...,11,-6.0,29,0.002890
23,.........((((....))))................((..((((..............)))).))..........,10,-5.996,10,0.002869
24,.........(((......)))....................((((..............)))).............,7,-5.896,12,0.002423
25,.........(((......))).........((.((..((..((((.(.........)..)))).)).)).))....,14,-5.888,2,0.002394
26,.........((((....))))....................((((..............)))).............,8,-5.888,14,0.002391
27,.........((((....)))).........((.((..((..((((.(.........)..)))).)).)).))....,15,-5.88,4,0.002362
28,.........(((......))).........((.((..((..((((.((.......))..)))).)).)).))....,15,-5.849,4,0.002241
29,.........((((....)))).........((.((..((..((((.((.......))..)))).)).)).))....,16,-5.841,6,0.002211
30,......((..((.(((((((((.....(((.((..............)).)))))))..))))).))..)).....,18,-5.816,50,0.002117
31,......((..((.((((.((((.....(((.(................).)))))))...)))).))..)).....,16,-5.813,47,0.002109
32,.........(((......))).........((.((..((..(((................))).)).)).))....,12,-5.755,2,0.001912
33,.........((((....)))).........((.((..((..(((................))).)).)).))....,13,-5.747,4,0.001887
34,..(.....)..(.((((.((((.....(((.((..............)).)))))))...)))).)..........,15,-5.643,47,0.001582
35,.........(((......)))..................((.(.....).))...((....))......(....).,9,-5.608,29,0.001491
36,.........((((....))))..................((.(.....).))...((....))......(....).,10,-5.6,31,0.001471
37,.........(((......)))............((..((..((((..............)))).)).)).......,11,-5.587,4,0.001438
38,.........((((....))))............((..((..((((..............)))).)).)).......,12,-5.579,6,0.001419
39,..((...))..(.((((.((((.....(((.((..............)).)))))))...)))).)..........,16,-5.572,49,0.001403
40,.........(((......))).........((.((..((..((((...(.(...).)..)))).)).)).))....,15,-5.563,4,0.001383
41,........((((......)))).........(.((..((..((((..............)))).)).)).).....,13,-5.561,4,0.001378
42,.........((((....)))).........((.((..((..((((...(.(...).)..)))).)).)).))....,16,-5.555,6,0.001364
43,........(((((....))))).........(.((..((..((((..............)))).)).)).).....,14,-5.553,6,0.001360
44,..((....((((......))))))......((.((..((..((((..............)))).)).)).))....,16,-5.548,6,0.001347
45,...........(.(((((((((.....(((.((..............)).)))))))..))))).)..........,15,-5.544,46,0.001339
46,........((((......))))................((.((((..............)))).))..........,10,-5.543,15,0.001336
47,...........(.((((.((((.....(((.(................).)))))))...)))).)..........,13,-5.542,43,0.001335
48,..((....(((((....)))))))......((.((..((..((((..............)))).)).)).))....,17,-5.54,8,0.001329
49,........(((((....)))))................((.((((..............)))).))..........,11,-5.535,17,0.001318
50,..(((....(((......))))))......((.((..((..((((..............)))).)).)).))....,16,-5.534,6,0.001317
51,..(((....((((....)))))))......((.((..((..((((..............)))).)).)).))....,17,-5.526,8,0.001299
52,.........(((......))).................(((......))).....((....)).............,8,-5.524,27,0.001293
53,.........(((......)))..................((.(.....).))...((....))....((...))..,10,-5.518,29,0.001280
54,.........((((....)))).................(((......))).....((....)).............,9,-5.516,29,0.001276
55,.........((((....))))..................((.(.....).))...((....))....((...))..,11,-5.51,31,0.001263
56,........((((......))))........((.((...((.((((..............)))).)).)).))....,14,-5.498,7,0.001237
57,......((((.....((.((((.....(((.((..............)).))))))).))..))))..........,15,-5.491,47,0.001225
58,........(((((....)))))........((.((...((.((((..............)))).)).)).))....,15,-5.49,9,0.001221
59,.........(((......)))..........(.((...((.((((..............)))).)).)).).....,12,-5.481,7,0.001204
60,.........((((....))))..........(.((...((.((((..............)))).)).)).).....,13,-5.473,9,0.001188
61,.........(((......))).........((.((..((..((((...(((....))).)))).)).)).))....,16,-5.462,6,0.001165
