StructID;ClusterID;ClosestToCenter;Energy;LowEne;AptaMat;Bp;MfeDist;Probability;Structure
3;1;0;-9.673;1;0.00;12;4.00;0.022197;.......((((................)))).................(((..(((((...)))))..))).....
18;1;0;-8.783;0;0.00;11;6.00;0.004940;.......((((................)))).................(((..((((.....))))..))).....
32;1;0;-8.568;0;0.00;13;6.00;0.003438;.......((((..(..........)..)))).................(((..(((((...)))))..))).....
42;1;0;-8.400;0;0.00;13;6.00;0.002591;.......((((.(.............))))).................(((..(((((...)))))..))).....
50;1;1;-8.269;0;0.00;13;6.00;0.002075;.....(.((((................))))..)..............(((..(((((...)))))..))).....
58;1;0;-8.210;0;0.00;13;5.00;0.001878;.......((((................))))..(.....)........(((..(((((...)))))..))).....
62;1;0;-8.185;0;0.00;13;5.00;0.001802;.......((((................)))).........(.....).(((..(((((...)))))..))).....
64;1;0;-8.179;0;0.00;11;6.00;0.001783;.......(((..................))).................(((..(((((...)))))..))).....
72;1;0;-8.099;0;0.00;13;5.00;0.001558;.......((((................))))...............(.(((..(((((...)))))..)))...).
76;1;0;-8.070;0;0.00;13;6.00;0.001483;.......((((..(...........).)))).................(((..(((((...)))))..))).....
83;1;0;-8.021;0;0.00;13;5.00;0.001365;.......((((................)))).......(....)....(((..(((((...)))))..))).....
86;1;0;-7.993;0;0.00;13;5.00;0.001302;.......((((................))))..........(....).(((..(((((...)))))..))).....
103;1;0;-7.869;0;0.00;13;5.00;0.001057;.......((((................)))).........(....)..(((..(((((...)))))..))).....
110;1;0;-7.837;0;0.00;11;6.00;0.001002;.......((((................))))..................((..(((((...)))))..))......
142;1;0;-7.678;0;0.00;12;8.00;0.000765;.......((((..(..........)..)))).................(((..((((.....))))..))).....
145;1;0;-7.665;0;0.00;13;6.00;0.000750;.......((((................)))).............(...(((..(((((...)))))..))).)...
153;1;0;-7.642;0;0.00;14;8.00;0.000721;....((.((((................))))..)).............(((..(((((...)))))..))).....
161;1;0;-7.614;0;0.00;13;5.00;0.000687;.......((((................))))..............(..(((..(((((...)))))..)))...).
180;1;0;-7.537;0;0.00;13;6.00;0.000603;.......((((................))))..(......).......(((..(((((...)))))..))).....
194;1;0;-7.510;0;0.00;12;8.00;0.000577;.......((((.(.............))))).................(((..((((.....))))..))).....
217;1;0;-7.453;0;0.00;13;6.00;0.000524;.......((((...(........)...)))).................(((..(((((...)))))..))).....
236;1;0;-7.378;0;0.00;12;8.00;0.000462;.....(.((((................))))..)..............(((..((((.....))))..))).....
254;1;0;-7.334;0;0.00;13;5.00;0.000429;.......((((................))))..........(...)..(((..(((((...)))))..))).....
261;1;0;-7.319;0;0.00;12;7.00;0.000418;.......((((................))))..(.....)........(((..((((.....))))..))).....
275;1;0;-7.295;0;0.00;12;7.00;0.000401;.......((((................)))).........(.....).(((..((((.....))))..))).....
282;1;0;-7.288;0;0.00;10;8.00;0.000397;.......(((..................))).................(((..((((.....))))..))).....
292;1;0;-7.256;0;0.00;13;6.00;0.000375;.......((((...(...........))))).................(((..(((((...)))))..))).....
296;1;0;-7.248;0;0.00;13;6.00;0.000371;.......((((................))))..(.......)......(((..(((((...)))))..))).....
