;StructID;ClusterID;ClosestToCenter;Energy;LowEne;AptaMat;Bp;MfeDist;Probability;Structure
0;14;1;1;-8.13;1;4.87;13;17;0.006466;...........((((.(((....)))))))......((....))........((((......))))..........
1;41;1;0;-7.466;0;5.1;12;19;0.002109;...........((((..((....)).))))......((....))........((((......))))..........
2;57;1;0;-7.292;0;5.66;14;19;0.001572;..(.....)..((((.(((....)))))))......((....))........((((......))))..........
3;62;1;0;-7.234;0;5.93;10;23;0.001424;...........((((...........))))......((....))........((((......))))..........
4;64;1;0;-7.221;0;6.39;15;21;0.001394;..((...))..((((.(((....)))))))......((....))........((((......))))..........
5;79;1;0;-7.102;0;4.88;14;18;0.00114;.........(.((((.(((....)))))))..)...((....))........((((......))))..........
6;81;1;0;-7.104;0;3.73;15;19;0.001145;...........((((.(((....)))))))......((....))....(..(((((......)))))..)......
7;100;1;0;-6.958;0;5.53;14;18;0.000894;...........((((.(((....)))))))......((....))........((((......))))...(....).
8;118;1;0;-6.874;0;3.68;16;20;0.000776;...........((((.(((....)))))))......((....))..(.(..(((((......)))))..).)....
9;142;1;0;-6.747;0;3.82;16;19;0.000627;...........((((.(((....)))))))......((....))...((..(((((......)))))...))....
10;161;1;0;-6.672;0;4.31;17;21;0.000552;...........((((.(((....)))))))......((....))...(((.(((((......)))))....)))..
11;179;1;0;-6.628;0;5.9;13;21;0.000513;..(.....)..((((..((....)).))))......((....))........((((......))))..........
12;199;1;0;-6.557;0;6.66;14;23;0.000455;..((...))..((((..((....)).))))......((....))........((((......))))..........
13;219;1;0;-6.492;0;4.06;16;20;0.000408;...........((((.(((....)))))))......((....))....((.(((((......)))))....))...
14;228;1;0;-6.476;0;5.1;12;19;0.000396;...........(((..(((....))).)))......((....))........((((......))))..........
15;244;1;0;-6.438;0;5.1;13;20;0.000372;.........(.((((..((....)).))))..)...((....))........((((......))))..........
16;245;1;0;-6.441;0;3.91;14;21;0.000373;...........((((..((....)).))))......((....))....(..(((((......)))))..)......
17;246;1;0;-6.435;0;4.73;12;15;0.00037;...........((((.(((....)))))))......(......)........((((......))))..........
18;247;1;0;-6.437;0;5.1;12;19;0.000371;...........((((.((......))))))......((....))........((((......))))..........
19;260;1;0;-6.408;0;4.94;15;19;0.000353;........((.((((.(((....)))))))..))..((....))........((((......))))..........
20;263;1;0;-6.396;0;6.76;11;25;0.000346;..(.....)..((((...........))))......((....))........((((......))))..........
21;280;1;0;-6.364;0;5.1;12;19;0.000328;...........((((.(((....)))))))......((....))........(((........)))..........
22;284;1;0;-6.361;0;5.97;15;19;0.000327;...........((((.(((....)))))))......((....))........((((......)))).((...))..
23;299;1;0;-6.324;0;7.53;12;27;0.000307;..((...))..((((...........))))......((....))........((((......))))..........
24;312;1;0;-6.306;0;3.88;15;17;0.000297;...........((((.(((....)))))))......((....))...((...((((......))))....))....
25;322;1;0;-6.294;0;5.77;13;20;0.000292;...........((((..((....)).))))......((....))........((((......))))...(....).
26;336;1;0;-6.266;0;4.5;16;21;0.000278;..(.....)..((((.(((....)))))))......((....))....(..(((((......)))))..)......
27;344;1;0;-6.255;0;5.44;14;19;0.000273;...........((((.(((....)))))))......((....))........((((......)))).(.....)..
28;349;1;0;-6.253;0;5.56;14;18;0.000272;...........((((.(((....)))))))......((....))........((((......))))....(...).
29;367;1;0;-6.221;0;5.44;14;17;0.000258;...........((((.(((....)))))))......((....))........((((......))))..(...)...
30;377;1;0;-6.21;0;3.85;15;22;0.000253;...........((((..((....)).))))......((....))..(.(..(((((......)))))..).)....
31;379;1;0;-6.205;0;5.9;11;24;0.000251;.........(.((((...........))))..)...((....))........((((......))))..........
32;381;1;0;-6.196;0;4.38;16;19;0.000247;...........((((.(((....)))))))......((....))...(((..((((......)))).....)))..
33;385;1;0;-6.195;0;5.23;17;23;0.000247;..((...))..((((.(((....)))))))......((....))....(..(((((......)))))..)......
34;400;1;0;-6.178;0;6.07;12;30;0.00024;...........((((((....))))...))......((....))........((((......))))..........
35;406;1;0;-6.165;0;5.87;12;28;0.000234;...........((((((....)))...)))......((....))........((((......))))..........
36;439;1;0;-6.117;0;5.43;12;19;0.000216;...........((((.(((....)))))))......((....)).........(((......)))...........
37;441;1;0;-6.12;0;6.27;15;20;0.000217;..(.....)..((((.(((....)))))))......((....))........((((......))))...(....).
38;465;1;0;-6.083;0;4.0;15;21;0.000204;...........((((..((....)).))))......((....))...((..(((((......)))))...))....
39;472;1;0;-6.076;0;3.76;16;20;0.000202;.........(.((((.(((....)))))))..)...((....))....(..(((((......)))))..)......
40;494;1;0;-6.062;0;6.62;11;24;0.000197;...........((((...........))))......((....))........((((......))))...(....).
41;501;1;0;-6.049;0;6.97;16;22;0.000193;..((...))..((((.(((....)))))))......((....))........((((......))))...(....).
42;509;1;0;-6.036;0;4.43;17;22;0.000189;..(.....)..((((.(((....)))))))......((....))..(.(..(((((......)))))..).)....
43;511;1;0;-6.037;0;3.73;15;19;0.000189;...........((((.(((....)))))))......((....))....(..(((((......)))))...).....
44;525;1;0;-6.016;0;4.12;15;18;0.000182;...........((((.(((....)))))))......((....))....((..((((......)))).....))...
45;538;1;0;-6.009;0;4.5;16;23;0.00018;...........((((..((....)).))))......((....))...(((.(((((......)))))....)))..
46;577;1;0;-5.965;0;5.14;18;24;0.000167;..((...))..((((.(((....)))))))......((....))..(.(..(((((......)))))..).)....
47;585;1;0;-5.949;0;5.66;14;19;0.000163;...(...)...((((.(((....)))))))......((....))........((((......))))..........
48;613;1;0;-5.93;0;5.52;15;19;0.000158;.........(.((((.(((....)))))))..)...((....))........((((......))))...(....).
