ClusterID,StructNum,ClosestID,ClosestEne,ClosestAptaMat,ClosestBp,ClosestMfeDist,ClosestProb,ClosestDistFromCenter,LowestID,LowestEne,LowestAptaMat,LowestBp,LowestMfeDist,LowestProb,CenterStruct,CommonSubstruct,CommonSubstructBp,CenterStructBp
1,777,14,-8.13,4.87,13,17,0.006466,0.0,14,-8.13,4.87,13,17,0.006466,...........||||.|||....|||||||......||....||........||||......||||..........,...........((((.(((....)))))))......((....))........((((......))))..........,13,13.0
2,552,452,-6.101,2.06,16,21,0.000211,0.0,90,-7.032,0.81,19,10,0.001014,...........||||.|||....|||||||.........||..|||...|||||||......||||..||......,...........((((.(((....))))))).........((..(((...)))((((......))))..))......,16,16.0
3,643,24,-7.828,5.97,11,14,0.003881,0.0,24,-7.828,5.97,11,14,0.003881,...........||||.|||....|||||||......................||||......||||..........,...........((((.(((....)))))))......................((((......))))..........,11,11.0
4,541,25,-7.796,27.74,13,50,0.003682,0.0,25,-7.796,27.74,13,50,0.003682,.......|||.|..|||||..........||||.......||||....|||||..|.|||................,.......(((.(..(((((..........((((.......))))....)))))..).)))................,13,13.0
5,741,9,-8.228,2.67,15,18,0.007629,0.0,9,-8.228,2.67,15,18,0.007629,...........||||.|||....|||||||.........|||.........|||||......||||||||......,...........((((.(((....))))))).........(((.........(((((......))))))))......,15,15.0
6,750,16,-8.054,30.0,12,47,0.005687,0.0,16,-8.054,30.0,12,47,0.005687,.......|||.|..|||||........|||.........|||......|||||..|.|||................,.......(((.(..(((((........(((.........)))......)))))..).)))................,12,12.0
7,763,553,-6.004,4.03,14,14,0.000179,0.267261,27,-7.726,3.9,12,12,0.003269,........|..||||..||....||.||||..|.......||.....||...||||......||||..........,...........((((..((....)).))))..........((.....))...((((......))))..........,12,13.0
8,613,107,-6.928,8.9,11,35,0.000851,0.0,107,-6.928,8.9,11,35,0.000851,..............|||....|||.....||||.......||||........||||......||||..........,..............(((....))).....((((.......))))........((((......))))..........,11,11.0
9,2570,1,-9.124,0.0,18,0,0.034594,0.166667,1,-9.124,0.0,18,0,0.034594,...........||||.|||....||.||||..|||||...||.....||...||||......||||..|||||...,............(((.(((....)).))))..(((((...((.....))...((((......))))..)))))...,17,17.5
10,335,1265,-5.47,5.33,9,20,7.3e-05,0.235702,37,-7.493,4.64,10,16,0.002207,...........||||...........||||..................|...||||......||||..........,...........((((...........))))......................((((......))))..........,8,8.5
11,777,6,-8.39,3.71,13,10,0.010021,0.0,6,-8.39,3.71,13,10,0.010021,...........||||.|||....|||||||..........||.....||...||||......||||..........,...........((((.(((....)))))))..........((.....))...((((......))))..........,13,13.0
12,696,66,-7.199,1.83,17,14,0.001344,0.0,23,-7.863,1.72,18,12,0.004121,...........||||..||....||.||||..|||....|||.........|||||......|||||||||||...,...........((((..((....)).))))..(((....(((.........(((((......)))))))))))...,17,17.0
