ClusterID;StructNum;ClosestID;ClosestEne;ClosestAptaMat;ClosestBp;ClosestMfeDist;ClosestProb;ClosestDistFromCenter;LowestID;LowestEne;LowestAptaMat;LowestBp;LowestMfeDist;LowestProb;CenterStruct;CommonSubstruct
1;413;7;-8,227;0,00;15;6;0,013694;0,000000;7;-8,227;0,00;15;6;0,013694;...||||...........||||..|||||...||.....||...||||......||||..|||||...;...((((...........))))..(((((...((.....))...((((......))))..)))))...
2;430;172;-6,343;0,00;12;35;0,000570;0,408248;62;-6,928;0,00;11;35;0,001529;.....||||....|||.....|..........||||........||||......||||..........;.....((((....))).....(..........))..........((((......))))..........
3;296;195;-6,252;0,00;16;19;0,000488;0,176777;40;-7,172;0,00;17;13;0,002306;.....||||....||||.......|||||...||.....||...||||......||||..||||||..;.....((((....)))........(((((...((.....))...((((......))))..))))))..
4;791;6;-8,390;0,00;13;10;0,018010;0,000000;6;-8,390;0,00;13;10;0,018010;...||||.|||....|||||||..........||.....||...||||......||||..........;...((((.(((....)))))))..........((.....))...((((......))))..........
5;643;1;-9,124;0,00;18;0;0,062173;0,000000;1;-9,124;0,00;18;0;0,062173;...||||.|||....|||||||..|||||...||.....||...||||......||||..|||||...;...((((.(((....)))))))..(((((...((.....))...((((......))))..)))))...
6;687;8;-8,228;0,00;15;18;0,013711;0,000000;8;-8,228;0,00;15;18;0,013711;...||||.|||....|||||||.........|||.........|||||......||||||||......;...((((.(((....))))))).........(((.........(((((......))))))))......
7;143;10;-8,157;0,00;18;4;0,012168;0,000000;10;-8,157;0,00;18;4;0,012168;...||||..||....||.||||.||||||...||.....||...||||......||||..||||||..;...((((..((....)).)))).((((((...((.....))...((((......))))..))))))..
8;554;12;-8,130;0,00;13;17;0,011621;0,000000;12;-8,130;0,00;13;17;0,011621;...||||.|||....|||||||......||....||........||||......||||..........;...((((.(((....)))))))......((....))........((((......))))..........
9;170;252;-6,102;0,00;16;10;0,000379;0,000000;252;-6,102;0,00;16;10;0,000379;...||||.|||....|||||||..|||||...||.....||..||........||.....|||||...;...((((.(((....)))))))..(((((...((.....))..((........)).....)))))...
10;340;42;-7,164;0,00;10;16;0,002275;0,000000;17;-7,828;0,00;11;14;0,006976;...||||..||....||.||||......................||||......||||..........;...((((..((....)).))))......................((((......))))..........
11;50;1247;-5,041;0,00;15;27;0,000063;0,000000;320;-5,938;0,00;18;21;0,000287;...||||...........||||.||||||.||.|.||...............||.|.||.||||||..;...((((...........)))).((((((.((.(.((...............)).).)).))))))..
12;216;1224;-5,049;0,00;17;19;0,000064;0,171499;202;-6,240;0,00;17;19;0,000479;...||||.|||....|||||||..|||||.||.|.||.............||.....||.|||||...;...(.((.(((....))))))....((((.((.(.((.............)).....)).)))))...
