ClusterID;StructNum;ClosestID;ClosestEne;ClosestAptaMat;ClosestBp;ClosestMfeDist;ClosestProb;ClosestDistFromCenter;LowestID;LowestEne;LowestAptaMat;LowestBp;LowestMfeDist;LowestProb;CenterStruct;CommonSubstruct
1;442;8;-7,659;0,00;10;11;0,009493;0,000000;8;-7,659;0,00;10;11;0,009493;..........||.||||..............||||.||....|....|.....|||.....|||............;..........((.((((..............)))).))....(....).....(((.....)))............
2;253;13;-7,507;0,00;11;17;0,007342;0,000000;13;-7,507;0,00;11;17;0,007342;..........||.||||..............||||.||...............|||.....|||...||...||..;..........((.((((..............)))).))...............(((.....)))...((...))..
3;285;69;-6,521;0,00;9;10;0,001389;0,000000;69;-6,521;0,00;9;10;0,001389;..........||.||||..............||||.||....|....|...................||...||..;..........((.((((..............)))).))....(....)...................((...))..
4;299;5;-8,127;0,00;12;15;0,020910;0,000000;5;-8,127;0,00;12;15;0,020910;..........||.||||..............||||.||....|....|.....|||.....|||...||...||..;..........((.((((..............)))).))....(....).....(((.....)))...((...))..
5;974;3;-8,197;0,00;11;2;0,023513;0,000000;1;-8,804;0,00;10;0;0,065495;..........||.|||||............|||||.||....|....|.......|||......|||.........;..........((.(((((............))))).))....(....).......(((......))).........
6;376;4;-8,184;0,00;9;2;0,022997;0,000000;4;-8,184;0,00;9;2;0,022997;..........||.||||..............||||.||.................|||......|||.........;..........((.((((..............)))).)).................(((......))).........
7;185;281;-5,729;0,00;14;12;0,000365;0,188982;70;-6,511;0,00;12;8;0,001366;..|||...|.||.||||..............||||.||.....|||........||||......||||........;...((...(.((.((((..............)))).)).....)))........((((......))))........
8;415;23;-7,218;0,00;12;4;0,004508;0,000000;23;-7,218;0,00;12;4;0,004508;..||...||.||.||||..............||||.||....|....|.......|||......|||.........;..((...)).((.((((..............)))).))....(....).......(((......))).........
9;817;24;-7,203;0,00;12;4;0,004391;0,288675;2;-8,252;0,00;11;2;0,025821;..........||.||||..............||||.||....|...........||||......||||....|...;..........((.((((..............)))).))....(...........((((......))))....)...
10;180;4680;-3,845;0,00;13;9;0,000015;0,192450;129;-6,158;0,00;13;9;0,000753;...|...||.||.||||..............||||.||...||.|..........|||......|||||...|...;...(...((.((.((((..............)))).))...)).)..........(((......))).(...)...
11;241;67;-6,542;0,00;14;19;0,001439;0,267261;67;-6,542;0,00;14;19;0,001439;...|...||.||.||||..............||||.||....|..........|||.....|||...||...||..;..........((.((((..............)))).))...............(((.....)))...((...))..
12;475;27;-7,094;0,00;10;21;0,003653;0,223607;27;-7,094;0,00;10;21;0,003653;.....||||....||....||.......||||..........|............|||......|||.........;......(((....((....)).......)))........................(((......))).........
