,Suboptimal proxy structure,Base pair,Energy (kcal/mol),MFE distance,AptaMat,Probability
0,.......((.(((......))).)).....((((...(((.......(((....)))...........))))))).,15,-7.845,0,0,0.051671
1,.......((.(((......))).))..((((.......)))).....(((....)))...................,12,-6.995,19,0,0.012294
2,.......((.(((......))).)).....((((...(((....((((((....)))........)))))))))).,18,-6.722,6,0,0.007762
3,.......((.(((......))).)).....(((....(((.......(((....)))...........))).))).,14,-6.718,2,0,0.007706
4,.......((.(((......))).))..((((.......)))).....(((....))).....(.(...).).....,14,-6.638,21,0,0.006732
5,.......((.(((......))).))....((.......)).......(((....)))...................,10,-6.572,15,0,0.006022
6,.......((.(((......))).))..((((.......)))).(((((((....)))........)))).......,16,-6.544,26,0,0.005748
7,.......((.(((......))).))............(((.......(((....)))...........))).....,11,-6.51,8,0,0.005421
8,.......((.(((......))).)).....(((.(((.((......))..))).)))...................,13,-6.402,27,0,0.004522
9,.......((.(((......))).)).....((((.............(((....)))..............)))).,12,-6.364,6,0,0.004241
10,.......((.(((......))).))...(((.......)))......(((....)))...................,11,-6.348,17,0,0.004130
11,.......((.(((......))).))..((((.......)))).....(((....)))..((.(.(...).)..)).,16,-6.319,23,0,0.003931
12,.......((.(((......))).)).....((((...(((.(.....(((....))).........).))))))).,16,-6.3,2,0,0.003803
13,.......((.(((......))).))....((.......))...(((((((....)))........)))).......,14,-6.256,22,0,0.003534
14,.......((.(((......))).))..((((.......)))).....(((....))).......(...).......,13,-6.246,20,0,0.003477
15,.......((.(((......))).))..((((.......)))).....(((....)))...(.(.(...)).)....,15,-6.243,22,0,0.003456
16,...........((((....)))).......((((...(((.......(((....)))...........))))))).,14,-6.24,13,0,0.003438
17,.......((.(((......))).))....((.......)).......(((....))).....(.(...).).....,12,-6.215,17,0,0.003297
18,.......((.(((......))).)).....(((((............(((....))).............))))).,13,-6.214,7,0,0.003291
