,Suboptimal proxy structure,Base pair,Energy (kcal/mol),MFE distance,AptaMat,Probability
0,...((((.(((....)))))))..(((((...((.....))...((((......))))..)))))...,18,-9.124,0,0,0.062173
1,...((((.(((....)))))))..(((((...(((...)))...((((......))))..)))))...,19,-8.885,2,0,0.041547
2,...((((.(((....))))))).((((((...((.....))...((((......))))..))))))..,19,-8.821,2,0,0.037305
3,...((((.(((....))))))).((((((...(((...)))...((((......))))..))))))..,20,-8.582,4,0,0.024929
4,...((((..((....)).))))..(((((...((.....))...((((......))))..)))))...,17,-8.46,2,0,0.020279
5,...((((.(((....)))))))..........((.....))...((((......))))..........,13,-8.39,10,0,0.018010
6,...((((.(((....))))))).........(((.........(((((......))))))))......,15,-8.228,18,0,0.013711
7,...((((...........))))..(((((...((.....))...((((......))))..)))))...,15,-8.227,6,0,0.013694
8,...((((..((....)).))))..(((((...(((...)))...((((......))))..)))))...,18,-8.221,4,0,0.013551
9,...((((..((....)).)))).((((((...((.....))...((((......))))..))))))..,18,-8.157,4,0,0.012168
10,...((((.(((....)))))))..........(((...)))...((((......))))..........,14,-8.151,12,0,0.012035
11,...((((.(((....)))))))......((....))........((((......))))..........,13,-8.13,17,0,0.011621
12,...((((...........))))..(((((...(((...)))...((((......))))..)))))...,16,-7.988,8,0,0.009151
13,...((((...........)))).((((((...((.....))...((((......))))..))))))..,16,-7.925,8,0,0.008216
14,...((((..((....)).)))).((((((...(((...)))...((((......))))..))))))..,19,-7.918,6,0,0.008131
15,...((((.(((....)))))))..(((....(((.........(((((......)))))))))))...,18,-7.863,12,0,0.007407
16,...((((.(((....)))))))......................((((......))))..........,11,-7.828,14,0,0.006976
17,...((((..((....)).))))..........((.....))...((((......))))..........,12,-7.726,12,0,0.005874
18,...((((.(((....))))))).......(.(((.........(((((......)))))))).)....,16,-7.687,19,0,0.005500
19,...((((...........)))).((((((...(((...)))...((((......))))..))))))..,17,-7.686,10,0,0.005491
20,...((((..((....)).)))).........(((.........(((((......))))))))......,14,-7.564,20,0,0.004472
21,...((((.(((....))))))).((((....(((.........(((((......))))))))))))..,19,-7.56,14,0,0.004444
22,...((((...........))))..........((.....))...((((......))))..........,10,-7.493,16,0,0.003967
23,...((((..((....)).))))..........(((...)))...((((......))))..........,13,-7.487,14,0,0.003926
24,...(((..(((....))).)))..(((((...((.....))...((((......))))..)))))...,17,-7.469,2,0,0.003810
25,...((((..((....)).))))......((....))........((((......))))..........,12,-7.466,19,0,0.003791
26,...((((.((......))))))..(((((...((.....))...((((......))))..)))))...,17,-7.431,2,0,0.003571
27,.(.((((.(((....)))))))..).......((.....))...((((......))))..........,14,-7.361,11,0,0.003175
28,...((((.(((....)))))))..(((((...((.....))...(((........)))..)))))...,17,-7.357,2,0,0.003154
29,...((((...........)))).........(((.........(((((......))))))))......,12,-7.332,24,0,0.003020
30,...((((.(((....)))))))..(((((......((.....))((((......))))..)))))...,18,-7.271,8,0,0.002728
31,...((((...........))))..........(((...)))...((((......))))..........,11,-7.254,18,0,0.002651
32,...((((...........))))......((....))........((((......))))..........,10,-7.234,23,0,0.002560
33,...(((..(((....))).)))..(((((...(((...)))...((((......))))..)))))...,18,-7.23,4,0,0.002546
34,...((((.(((....)))))))..........((.....))...((((......))))...(....).,14,-7.217,11,0,0.002491
35,.(.((((.(((....)))))))..)......(((.........(((((......))))))))......,16,-7.2,19,0,0.002417
36,...((((..((....)).))))..(((....(((.........(((((......)))))))))))...,17,-7.199,14,0,0.002416
37,...((((.((......))))))..(((((...(((...)))...((((......))))..)))))...,18,-7.192,4,0,0.002386
38,...((((((....))))...))..(((((...((.....))...((((......))))..)))))...,17,-7.172,13,0,0.002306
39,...((((.(((....)))))))......((.(((.........(((((......))))))))...)).,17,-7.172,21,0,0.002306
40,...(((..(((....))).))).((((((...((.....))...((((......))))..))))))..,18,-7.167,4,0,0.002286
41,...((((..((....)).))))......................((((......))))..........,10,-7.164,16,0,0.002275
42,...((((((....)))...)))..(((((...((.....))...((((......))))..)))))...,17,-7.158,11,0,0.002254
43,...((((.((......)))))).((((((...((.....))...((((......))))..))))))..,18,-7.128,4,0,0.002143
44,.(.((((.(((....)))))))..).......(((...)))...((((......))))..........,15,-7.122,13,0,0.002122
45,...((((.(((....)))))))..(((((...(((...)))...(((........)))..)))))...,18,-7.119,4,0,0.002108
46,...((((.(((....)))))))......((....))....(..(((((......)))))..)......,15,-7.104,19,0,0.002058
47,.(.((((.(((....)))))))..)...((....))........((((......))))..........,14,-7.102,18,0,0.002049
48,...((((.(((....))))))).((((((...((.....))...(((........)))..))))))..,18,-7.055,4,0,0.001893
49,...((((.(((....)))))))...((.....))..........((((......))))..........,13,-7.04,14,0,0.001845
50,...((((.(((....)))))))..(((((......(((...)))((((......))))..)))))...,19,-7.032,10,0,0.001823
51,...((((..((....)).)))).......(.(((.........(((((......)))))))).)....,15,-7.023,21,0,0.001794
52,...((((.(((....)))))))..(((.....((.....))...((((......))))....)))...,16,-7.022,4,0,0.001791
53,...((((.(((....)))))))..........(((...)))...((((......))))...(....).,15,-6.979,13,0,0.001665
54,...((((.(((....))))))).((((((......((.....))((((......))))..))))))..,19,-6.969,10,0,0.001637
55,...((((...........))))..(((....(((.........(((((......)))))))))))...,15,-6.967,18,0,0.001631
56,...((((.(((....)))))))......((....))........((((......))))...(....).,14,-6.958,18,0,0.001607
57,...((((.(((....)))))))..(...)...((.....))...((((......))))..........,14,-6.939,10,0,0.001558
58,...((((((....))))...))..(((((...(((...)))...((((......))))..)))))...,18,-6.933,15,0,0.001541
59,...((((...........))))......................((((......))))..........,8,-6.931,20,0,0.001536
60,...((((.(((....))))))).....(((.(((.........(((((......))))))))...))),18,-6.929,22,0,0.001530
61,......(((....))).....((((.......))))........((((......))))..........,11,-6.928,35,0,0.001529
62,...(((..(((....))).))).((((((...(((...)))...((((......))))..))))))..,19,-6.928,6,0,0.001528
63,...((((((....)))...)))..(((((...(((...)))...((((......))))..)))))...,18,-6.92,13,0,0.001507
64,...((((.(((....)))))))..(((((...((.....))...(((.((...)))))..)))))...,19,-6.907,5,0,0.001476
65,...((((.(((....)))))))..(((((...((.....))...((((.(...)))))..)))))...,19,-6.907,2,0,0.001476
66,...((((.(((....)))))))..(((((...(.......)...((((......))))..)))))...,17,-6.902,2,0,0.001462
67,...((((..((....)).)))).((((....(((.........(((((......))))))))))))..,18,-6.897,16,0,0.001450
68,...((((.((......)))))).((((((...(((...)))...((((......))))..))))))..,19,-6.889,6,0,0.001432
69,...((((.(((....)))))))......((....))..(.(..(((((......)))))..).)....,16,-6.874,20,0,0.001395
70,...((((((....))))...)).((((((...((.....))...((((......))))..))))))..,18,-6.869,15,0,0.001384
71,...((((((....)))...))).((((((...((.....))...((((......))))..))))))..,18,-6.856,13,0,0.001353
72,...((((.(((....))))))).........(((.((.....))((((......)))).)))......,16,-6.852,20,0,0.001344
73,......(((....))).......((((((...((.....))...((((......))))..))))))..,15,-6.837,19,0,0.001311
74,...((((.(((....))))))).((((((...(((...)))...(((........)))..))))))..,19,-6.816,6,0,0.001265
75,...((((.(((....)))))))....(.....)...........((((......))))..........,12,-6.807,14,0,0.001247
76,...((((.(((....)))))))..................(..(((((......)))))..)......,13,-6.802,16,0,0.001235
77,.(.((((.(((....)))))))..)...................((((......))))..........,12,-6.799,15,0,0.001230
78,...((((...........)))).......(.(((.........(((((......)))))))).)....,13,-6.79,25,0,0.001211
79,...((((.(((....)))))))..(((.....(((...)))...((((......))))....)))...,17,-6.783,6,0,0.001197
80,...((((.(((....)))))))..(...)..(((.........(((((......))))))))......,16,-6.778,18,0,0.001186
81,...((((..(......).))))..(((((...((.....))...((((......))))..)))))...,16,-6.767,4,0,0.001165
82,...((((.(((....)))))))......((....))...((..(((((......)))))...))....,16,-6.747,19,0,0.001126
83,...((((.(((....)))))))...((((...((.....))...((((......))))..))))....,17,-6.735,2,0,0.001104
84,...(((..(((....))).)))..........((.....))...((((......))))..........,12,-6.735,12,0,0.001104
85,...((((.(((....))))))).((((((......(((...)))((((......))))..))))))..,20,-6.73,12,0,0.001094
86,..(..((((....)))).)..((((.......))))........((((......))))..........,13,-6.727,36,0,0.001088
87,...((((.(((....)))))))..(((((...((.....))....(((......)))...)))))...,17,-6.726,2,0,0.001087
88,...((((.(((....))))))).((((.....((.....))...((((......))))....))))..,17,-6.719,6,0,0.001074
89,...((((.(((....)))))))..(...)...(((...)))...((((......))))..........,15,-6.701,12,0,0.001041
90,.(.((((..((....)).))))..).......((.....))...((((......))))..........,13,-6.697,13,0,0.001036
91,...((((.((......))))))..........((.....))...((((......))))..........,12,-6.697,12,0,0.001034
92,...((((..((....)).))))..(((((...((.....))...(((........)))..)))))...,16,-6.694,4,0,0.001029
93,...((((.(((....))))))).......((.....))......((((......))))..........,13,-6.692,18,0,0.001026
94,...((((.(((....)))))))......((....))...(((.(((((......)))))....)))..,17,-6.672,21,0,0.000992
95,...((((.(((....)))))))..(((((...(((...)))...(((.((...)))))..)))))...,20,-6.669,7,0,0.000986
96,...((((.(((....)))))))..(((((...(((...)))...((((.(...)))))..)))))...,20,-6.669,4,0,0.000986
97,...((((...........)))).((((....(((.........(((((......))))))))))))..,16,-6.664,20,0,0.000979
98,.(.((((.(((....)))))))..)....(.(((.........(((((......)))))))).)....,17,-6.658,20,0,0.000970
99,......(((....)))........(((((...((.....))...((((......))))..)))))...,14,-6.657,17,0,0.000967
100,...((((.(((....)))))))......................((((......))))...(....).,12,-6.656,15,0,0.000965
101,...(((.............)))..(((((...((.....))...((((......))))..)))))...,14,-6.654,8,0,0.000962
102,..(..((((....)))).)....((((((...((.....))...((((......))))..))))))..,17,-6.635,20,0,0.000932
103,...((((((....))))...)).((((((...(((...)))...((((......))))..))))))..,19,-6.63,17,0,0.000925
104,...((((.(((....)))))))..........((.....))...(((........)))..........,12,-6.623,12,0,0.000914
105,...((((.(((....)))))))..........((.....))...((((......)))).((...))..,15,-6.621,12,0,0.000910
106,...((((((....)))...))).((((((...(((...)))...((((......))))..))))))..,19,-6.617,15,0,0.000904
107,...((((.(((....))))))).........(((.(((...)))((((......)))).)))......,17,-6.613,22,0,0.000898
108,...((((..((....)).))))..(((((......((.....))((((......))))..)))))...,17,-6.608,10,0,0.000890
109,...((((.(((....))))))).((((((...((.....))...(((.((...)))))..))))))..,20,-6.605,7,0,0.000885
110,...((((.(((....))))))).((((((...((.....))...((((.(...)))))..))))))..,20,-6.605,4,0,0.000885
111,...((((.(((....))))))).((((((...(.......)...((((......))))..))))))..,18,-6.599,4,0,0.000877
112,......(((....))).......((((((...(((...)))...((((......))))..))))))..,16,-6.598,21,0,0.000876
113,...(((..(((....))).))).........(((.........(((((......))))))))......,14,-6.574,20,0,0.000840
114,...((((.(((....)))))))................(.(..(((((......)))))..).)....,14,-6.572,17,0,0.000837
115,...((((..((....)).))))..........((.....))...((((......))))...(....).,13,-6.554,13,0,0.000812
116,...((((.(((....))))))).............((.....))((((......))))..........,13,-6.537,18,0,0.000790
117,.(.((((..((....)).))))..)......(((.........(((((......))))))))......,15,-6.536,21,0,0.000788
118,...((((.((......)))))).........(((.........(((((......))))))))......,14,-6.535,20,0,0.000788
119,...((((..(......).))))..(((((...(((...)))...((((......))))..)))))...,17,-6.528,6,0,0.000778
120,...((((.(((....)))))))..........((.....))...((((......)))).(.....)..,14,-6.515,12,0,0.000761
121,...((((.(((....)))))))..........((.....))...((((......))))....(...).,14,-6.513,11,0,0.000758
122,...((((..((....)).))))......((.(((.........(((((......))))))))...)).,16,-6.508,23,0,0.000752
123,...((((.(((....)))))))...((((...(((...)))...((((......))))..))))....,18,-6.496,4,0,0.000738
124,...(((..(((....))).)))..........(((...)))...((((......))))..........,13,-6.496,14,0,0.000737
125,...((((.(((....)))))))......((....))....((.(((((......)))))....))...,16,-6.492,20,0,0.000733
126,((.((((.(((....)))))))..))......((.....))...((((......))))..........,15,-6.489,12,0,0.000729
127,...((((.(((....)))))))..(((((...(((...)))....(((......)))...)))))...,18,-6.488,4,0,0.000727
128,...((((.(((....)))))))..(((....(((.((.....))((((......)))).))))))...,19,-6.487,14,0,0.000726
129,...((((((....))...))))..(((((...((.....))...((((......))))..)))))...,17,-6.482,9,0,0.000720
130,...((((.(((....)))))))..........((.....))...((((......))))..(...)...,14,-6.48,10,0,0.000718
